question,answer,category,language
Where can I report issues of discrimination or harassment?,Report discrimination or harassment incidents to the Ethics Office at ethics@iset-sfax.tn or through the confidential form at https://www.iset-sfax.tn/about/ethics. Anonymous reporting option available.,Contact & Location,en
How do I arrange for a campus tour?,Campus tours are scheduled through https://www.iset-sfax.tn/about/campus-tours. Group and individual options available. Specialized department tours require 1-week advance notice.,Contact & Location,en
What religious services are available on campus?,Prayer rooms are located in Buildings A and C. Multi-faith calendar and religious accommodation requests at https://www.iset-sfax.tn/student-life/religious-services.,Student Life,en
How can I access psychological services in a crisis?,Crisis psychological support is available 24/7 at +216-74-431-500 or through the urgent help button in the student portal. In-person crisis support at the Wellness Center during business hours.,Student Life,en
What software is available for student use?,"Licensed software includes MATLAB, AutoCAD, Adobe Creative Cloud, and SPSS. Download instructions at https://www.iset-sfax.tn/facilities/software. Available for personal and lab computers.",Facilities,en
How do I subscribe to campus emergency alerts?,"Emergency alert subscription is managed through https://www.iset-sfax.tn/safety/alerts. Notifications sent via SMS, email, and app push. Update contact information to ensure delivery.",Contact & Location,en
What fitness facilities are available for students?,"Fitness facilities include a gymnasium, pool, tennis courts, and weight room. Hours and equipment reservation at https://www.iset-sfax.tn/facilities/fitness. Group classes schedule posted monthly.",Facilities,en
How can I get a student ID card replacement?,"ID replacement requests are processed at the Security Office (Building A, Room 101). Fee: 20 TND. Bring identification and complete the form at https://www.iset-sfax.tn/facilities/id-replacement.",Contact & Location,en
What legal advisory services are available to students?,"Free legal consultations available Tuesdays 13:00-16:00. Schedule appointments at https://www.iset-sfax.tn/student-life/legal-services. Services include lease reviews, consumer disputes, and immigration matters.",Student Life,en
How do I apply for graduation?,Graduation applications must be submitted through https://www.iset-sfax.tn/academic-policies/graduation-application at least 3 months before completion. Pay the 75 TND processing fee and verify your requirements with your advisor.,Academic Policies,en
What is the policy on double majors?,Double major requirements include minimum 15/20 GPA and completion of 30 additional ECTS credits. Application process and eligibility at https://www.iset-sfax.tn/academic-policies/double-major.,Academic Policies,en
Can I take courses at partner universities?,Cross-institutional enrollment is possible with advisor approval. Partner institutions and credit transfer policies listed at https://www.iset-sfax.tn/academic-policies/cross-enrollment.,Academic Policies,en
How do I apply for a teaching assistant position?,Teaching assistant applications require faculty recommendation and 16/20 minimum GPA in the relevant course. Apply at https://www.iset-sfax.tn/academic-policies/teaching-assistants by July 15th.,Academic Policies,en
What is the policy on retaking courses to improve grades?,Students may retake up to 5 courses to improve grades. The higher grade is kept in GPA calculations. Registration process at https://www.iset-sfax.tn/academic-policies/grade-improvement.,Academic Policies,en
How can I check the status of my degree requirements?,"Degree progress is tracked in the 'Degree Audit' section of the student portal. For personalized guidance, schedule an appointment at https://www.iset-sfax.tn/academic-policies/degree-check.",Academic Policies,en
What is the policy on incomplete grades?,Incomplete grades must be resolved within 45 days of the following semester. Requirements and extension requests detailed at https://www.iset-sfax.tn/academic-policies/incomplete-grades.,Academic Policies,en
How do I request a course substitution?,Course substitution petitions require department chair approval. Submit the form available at https://www.iset-sfax.tn/academic-policies/substitutions with justification and documentation.,Academic Policies,en
What is the academic calendar for the current year?,"The full academic calendar with all deadlines, holidays, and exam periods is available at https://www.iset-sfax.tn/academic-policies/calendar. Subscribe for updates and reminders.",Academic Policies,en
How can I challenge a prerequisite requirement?,Prerequisite challenge applications must include prior coursework or experience documentation. Submit through https://www.iset-sfax.tn/academic-policies/prerequisite-challenge by registration deadline.,Academic Policies,en
What is the policy on academic dismissal?,Academic dismissal occurs after two consecutive semesters on probation. Appeal process and readmission criteria outlined at https://www.iset-sfax.tn/academic-policies/dismissal.,Academic Policies,en
How do I petition for a course overload?,Course overload petitions (more than 35 ECTS per semester) require 15/20 minimum GPA and advisor support. Application at https://www.iset-sfax.tn/academic-policies/overload.,Academic Policies,en
What is the credit transfer policy for exchange students?,Exchange student credit transfers require pre-approval using the form at https://www.iset-sfax.tn/academic-policies/exchange-credits. Submit course syllabi with your application.,Academic Policies,en
How many times can I change my major?,Students are permitted one major change without penalty. Additional changes require dean approval and may extend graduation timeline. Process at https://www.iset-sfax.tn/academic-policies/major-changes.,Academic Policies,en
What is the attendance policy for religious holidays?,Religious holiday absences are excused with advance notice. Submit the accommodation form at https://www.iset-sfax.tn/academic-policies/religious-accommodations at least 2 weeks before the absence.,Academic Policies,en
How do I request a retroactive withdrawal?,Retroactive withdrawal petitions require substantial documentation of extenuating circumstances. Submit to the Academic Standards Committee via https://www.iset-sfax.tn/academic-policies/retroactive-withdrawal.,Academic Policies,en
What is the final exam schedule?,Final exam schedules are posted 4 weeks before exam period at https://www.iset-sfax.tn/academic-policies/exam-schedule. Check regularly for updates and room assignments.,Academic Policies,en
How do I apply for independent study credit?,"Independent study applications require faculty sponsor, research proposal, and department approval. Forms and guidelines at https://www.iset-sfax.tn/academic-policies/independent-study.",Academic Policies,en
What's the process for declaring a minor?,Minor declarations must be submitted after completing 60 ECTS credits. Choose from 18 available minors at https://www.iset-sfax.tn/academic-policies/minor-declaration.,Academic Policies,en
How can I reserve a private room in the library?,Library study rooms can be reserved up to one week in advance for 2-hour blocks. Make bookings at https://www.iset-sfax.tn/facilities/library-rooms or at the circulation desk.,Facilities,en
What computer labs are available for design software?,"Specialized design software (Adobe, CAD, 3D modeling) is available in Labs C-301 and D-105. Hours and equipment specifications at https://www.iset-sfax.tn/facilities/design-labs.",Facilities,en
How do I get access to research laboratories?,Research lab access requires safety training completion and faculty authorization. Submit the access request form at https://www.iset-sfax.tn/facilities/research-labs.,Facilities,en
Where can I store my project materials on campus?,"Project storage lockers are available in Buildings B and C on a semester basis. Apply at https://www.iset-sfax.tn/facilities/project-storage. Limited availability, apply early.",Facilities,en
How do I report a facilities maintenance issue?,Maintenance issues can be reported through the Facilities Portal at https://www.iset-sfax.tn/facilities/maintenance or via the ISET mobile app. Include location and detailed description.,Facilities,en
What audio/visual equipment can I borrow?,"A/V equipment including projectors, cameras, and sound systems can be borrowed from Media Services in Building D. Reservation form at https://www.iset-sfax.tn/facilities/av-equipment.",Facilities,en
Are there charging stations for electric vehicles?,Electric vehicle charging stations are located in Parking Lots A and C. Registration and usage instructions at https://www.iset-sfax.tn/facilities/ev-charging. Fee: 2 TND per hour.,Facilities,en
How do I reserve the conference rooms?,Conference rooms for student organizations can be reserved through https://www.iset-sfax.tn/facilities/room-booking. Requests must be submitted at least 48 hours in advance.,Facilities,en
What recreational facilities are available on weekends?,"Weekend recreational facilities include the gymnasium, swimming pool, and tennis courts. Hours and reservation process at https://www.iset-sfax.tn/facilities/weekend-recreation.",Facilities,en
How do I access specialized software in the labs?,Specialized software requires account activation through https://www.iset-sfax.tn/facilities/software-access. Training sessions for complex applications are scheduled monthly.,Facilities,en
What catering services are available for student events?,Campus catering can be arranged for student events with at least one week's notice. Menus and pricing at https://www.iset-sfax.tn/facilities/catering. Discounts for registered organizations.,Facilities,en
How do I reserve equipment for field research?,Field research equipment reservation requires faculty approval and safety training. Inventory and booking form at https://www.iset-sfax.tn/facilities/field-equipment.,Facilities,en
What are the hours for the campus copy center?,The Copy Center operates Monday-Friday 8:00-18:00 and Saturday 9:00-13:00. Services and pricing listed at https://www.iset-sfax.tn/facilities/copy-center.,Facilities,en
How do I get after-hours access to buildings?,After-hours building access requires department authorization and security enrollment. Application form at https://www.iset-sfax.tn/facilities/after-hours with faculty endorsement.,Facilities,en
What recycling programs are available on campus?,Campus recycling stations are located in all buildings. Materials accepted and sustainability initiatives described at https://www.iset-sfax.tn/facilities/recycling.,Facilities,en
How do I report safety concerns about campus facilities?,Safety concerns should be reported immediately to campus security at +216-74-431-499 or through the online form at https://www.iset-sfax.tn/facilities/safety-concerns.,Facilities,en
Where can I find vegetarian or halal food options?,Vegetarian and halal options are available at all campus dining locations. Weekly menus and nutrition information at https://www.iset-sfax.tn/facilities/dining-options.,Facilities,en
How do I register as a commuter student?,Commuter student registration provides access to day lockers and lounge facilities. Register at https://www.iset-sfax.tn/facilities/commuter-services with proof of residence.,Facilities,en
What lactation rooms are available on campus?,"Private lactation rooms are located in Buildings A, C, and E. Access and amenities information at https://www.iset-sfax.tn/facilities/lactation-rooms.",Facilities,en
How do I get a locker in the fitness center?,Fitness center lockers can be rented by semester or academic year. Apply at https://www.iset-sfax.tn/facilities/fitness-lockers. Daily use lockers also available.,Facilities,en
Where can I practice musical instruments on campus?,Sound-isolated practice rooms are available in the Arts Building. Reservation system and hours at https://www.iset-sfax.tn/facilities/music-practice. Instrument storage available for registered users.,Facilities,en
What are the qualification criteria for merit scholarships?,Merit scholarship qualification requires minimum 16/20 GPA and full-time enrollment. Additional criteria and application process at https://www.iset-sfax.tn/tuition/merit-criteria.,Tuition & Scholarships,en
How do I apply for hardship-based tuition reduction?,Hardship-based tuition reduction requires documentation of financial circumstances. Application guidelines and required forms at https://www.iset-sfax.tn/tuition/hardship-reduction.,Tuition & Scholarships,en
What scholarships are available for returning adult students?,Adult learner scholarships are available for students over 25 years of age. Eligibility and application details at https://www.iset-sfax.tn/tuition/adult-learner-scholarships.,Tuition & Scholarships,en
How do I appeal a financial aid decision?,Financial aid appeals must be submitted within 10 days of decision notification. Process and documentation requirements at https://www.iset-sfax.tn/tuition/aid-appeals.,Tuition & Scholarships,en
What is the policy on tuition refunds for military deployment?,Military deployment qualifies for 100% tuition refund regardless of timing. Documentation requirements and process at https://www.iset-sfax.tn/tuition/military-refunds.,Tuition & Scholarships,en
How can I apply for research funding as an undergraduate?,Undergraduate research funding applications open each semester. Project proposal guidelines and submission portal at https://www.iset-sfax.tn/tuition/research-funding.,Tuition & Scholarships,en
What external scholarship opportunities are available?,External scholarship database with over 200 opportunities is maintained at https://www.iset-sfax.tn/tuition/external-scholarships. Filter by field of study and eligibility criteria.,Tuition & Scholarships,en
How do I become a scholarship peer mentor?,Scholarship recipients can apply to become peer mentors for incoming scholars. Responsibilities and benefits outlined at https://www.iset-sfax.tn/tuition/peer-mentors.,Tuition & Scholarships,en
What is the policy on scholarship renewal requirements?,Scholarship renewal requires maintaining minimum GPA and enrollment requirements. Criteria varies by scholarship type. Details at https://www.iset-sfax.tn/tuition/scholarship-renewal.,Tuition & Scholarships,en
How do I apply for conference travel funding?,Conference travel funding is available for students presenting research. Application requirements and reimbursement process at https://www.iset-sfax.tn/tuition/conference-funding.,Tuition & Scholarships,en
What academic achievement scholarships are available?,Academic achievement scholarships are awarded based on GPA tiers. Award amounts and qualification levels detailed at https://www.iset-sfax.tn/tuition/achievement-scholarships.,Tuition & Scholarships,en
How do cooperative education programs affect tuition?,Co-op program participants pay reduced tuition during work terms. Rate structure and credit requirements at https://www.iset-sfax.tn/tuition/co-op-tuition.,Tuition & Scholarships,en
What scholarship options exist for student athletes?,Athletic scholarships are available in 12 sports based on performance and team needs. Tryout information and coach contacts at https://www.iset-sfax.tn/tuition/athletic-awards.,Tuition & Scholarships,en
How do I apply for emergency financial assistance?,Emergency financial assistance is available for unexpected hardships. Application process and eligibility criteria at https://www.iset-sfax.tn/tuition/emergency-assistance.,Tuition & Scholarships,en
What tuition benefits are available for ISET employees' families?,Employees' dependents receive 50% tuition reduction. Eligibility requirements and application process at https://www.iset-sfax.tn/tuition/employee-benefits.,Tuition & Scholarships,en
How do I qualify for the entrepreneurship scholarship?,Entrepreneurship scholarships require business plan submission and faculty recommendation. Application guidelines at https://www.iset-sfax.tn/tuition/entrepreneurship-scholarship.,Tuition & Scholarships,en
What is the campus policy on scholarship stacking?,Scholarship stacking is limited to 100% of tuition and fees. Prioritization and excess fund allocation policies at https://www.iset-sfax.tn/tuition/scholarship-stacking.,Tuition & Scholarships,en
How do I find work-study positions on campus?,Work-study positions are listed in the employment portal at https://www.iset-sfax.tn/tuition/work-study. New openings posted every Monday. Eligibility based on financial aid status.,Tuition & Scholarships,en
What scholarships are available for graduate students?,"Graduate student funding options include teaching assistantships, research grants, and merit scholarships. Complete listing at https://www.iset-sfax.tn/tuition/graduate-funding.",Tuition & Scholarships,en
How do I set up direct deposit for scholarship refunds?,Scholarship refunds can be direct deposited by providing banking information at https://www.iset-sfax.tn/tuition/direct-deposit. Processing takes 5-7 business days.,Tuition & Scholarships,en
What international mobility grants are available?,International mobility grants support study abroad experiences. Funding amounts and application deadlines at https://www.iset-sfax.tn/tuition/mobility-grants.,Tuition & Scholarships,en
How can I join student government committees?,Student government committee applications are accepted at the beginning of each semester. Committee descriptions and responsibilities at https://www.iset-sfax.tn/student-life/committees.,Student Life,en
What intramural sports are offered in the fall semester?,"Fall intramurals include soccer, basketball, volleyball, and tennis. Registration deadlines and league schedules at https://www.iset-sfax.tn/student-life/fall-intramurals.",Student Life,en
How do I start a new student organization?,"New student organization applications require 15 member signatures, constitution, and faculty advisor. Guidelines at https://www.iset-sfax.tn/student-life/new-organizations.",Student Life,en
What cultural celebration events are held annually?,"Annual cultural celebrations include International Festival, Tunisian Heritage Day, and Regional Cuisine Fair. Event calendar at https://www.iset-sfax.tn/student-life/cultural-events.",Student Life,en
How can I participate in campus leadership development?,Leadership development programs include the Emerging Leaders Institute and Leadership Certificate Program. Application details at https://www.iset-sfax.tn/student-life/leadership.,Student Life,en
What volunteer opportunities are available near campus?,Community volunteer opportunities are coordinated through the Service Center. Current projects and sign-up at https://www.iset-sfax.tn/student-life/volunteer-opportunities.,Student Life,en
How do I join the student newspaper?,"The student newspaper accepts new staff each semester. Writing, photography, and editing positions described at https://www.iset-sfax.tn/student-life/newspaper.",Student Life,en
What peer mentoring programs are available for first-year students?,First-year peer mentoring pairs new students with upperclassmen in their field. Program details and mentor application at https://www.iset-sfax.tn/student-life/peer-mentoring.,Student Life,en
How can I get involved in campus sustainability initiatives?,Sustainability initiatives include the Green Campus Committee and Environmental Action Team. Ongoing projects and meetings listed at https://www.iset-sfax.tn/student-life/sustainability.,Student Life,en
What art and creative expression programs are offered?,"Creative arts programs include exhibitions, performances, and workshops open to all students. Schedule and participation information at https://www.iset-sfax.tn/student-life/arts.",Student Life,en
How do I register for outdoor adventure trips?,"Outdoor adventure trips are scheduled monthly. Registration, equipment requirements, and trip descriptions at https://www.iset-sfax.tn/student-life/outdoor-adventures.",Student Life,en
What gaming and e-sports opportunities exist on campus?,Gaming clubs and e-sports teams meet weekly in the Digital Recreation Center. Tournament schedule and membership information at https://www.iset-sfax.tn/student-life/esports.,Student Life,en
How can I participate in student governance and policy development?,Policy development opportunities include serving on university committees and the Student Senate. Application process detailed at https://www.iset-sfax.tn/student-life/governance.,Student Life,en
What diversity and inclusion initiatives are active on campus?,"Diversity and inclusion programs include cultural awareness workshops, ally training, and celebration events. Calendar and registration at https://www.iset-sfax.tn/student-life/diversity.",Student Life,en
How do I join the campus tour guide program?,Campus tour guide applications are accepted each semester. Training schedule and position requirements at https://www.iset-sfax.tn/student-life/tour-guides.,Student Life,en
What dance and performance groups are active on campus?,"Dance and performance groups include traditional Tunisian dance, contemporary, and fusion styles. Audition information at https://www.iset-sfax.tn/student-life/dance.",Student Life,en
How can I participate in debate and public speaking competitions?,"Debate team and public speaking club information, including meeting times and competition schedule, available at https://www.iset-sfax.tn/student-life/debate.",Student Life,en
What cooking and culinary clubs are available?,"Culinary clubs include International Cuisine, Baking Society, and Sustainable Food. Meeting locations and signup information at https://www.iset-sfax.tn/student-life/culinary.",Student Life,en
How do I join the student radio station?,"The campus radio station offers positions in broadcasting, production, and music selection. Application details at https://www.iset-sfax.tn/student-life/radio.",Student Life,en
What photography and digital media clubs exist?,Photography Club and Digital Media Collective meet weekly for workshops and collaborative projects. Equipment access and exhibition opportunities listed at https://www.iset-sfax.tn/student-life/photography.,Student Life,en
How do I register for career fairs?,Career fair registration opens two weeks before each event. Pre-registration at https://www.iset-sfax.tn/career-services/fair-registration includes resume review and employer matching.,Career Services,en
What career counseling services are available?,"Individual career counseling appointments can be scheduled through https://www.iset-sfax.tn/career-services/counseling. Services include career exploration, job search strategies, and graduate school planning.",Career Services,en
How do I access the alumni mentorship network?,The alumni mentorship network connects current students with professionals in their field. Profile creation and matching at https://www.iset-sfax.tn/career-services/alumni-mentors.,Career Services,en
What employer information sessions are scheduled this semester?,Employer information sessions and recruitment events are listed at https://www.iset-sfax.tn/career-services/employer-sessions. Registration required for most events.,Career Services,en
How do I prepare for virtual interviews?,Virtual interview preparation includes practice sessions with feedback and technical setup assistance. Schedule at https://www.iset-sfax.tn/career-services/virtual-interviews.,Career Services,en
What internship placement services are offered?,"Internship placement services include employer matching, application review, and interview preparation. Complete profile at https://www.iset-sfax.tn/career-services/internship-placement.",Career Services,en
How can I access industry-specific career resources?,"Industry-specific career guides, employment trends, and company profiles are available at https://www.iset-sfax.tn/career-services/industry-resources. Filter by field and location.",Career Services,en
What professional etiquette workshops are offered?,"Professional etiquette workshops cover networking, business dining, and workplace communication. Schedule and registration at https://www.iset-sfax.tn/career-services/etiquette.",Career Services,en
How do I participate in on-campus recruitment interviews?,On-campus recruitment interview signups open after employer information sessions. Eligibility requirements and schedule at https://www.iset-sfax.tn/career-services/on-campus-recruitment.,Career Services,en
What career assessment tools are available for undecided students?,"Career assessment tools for undecided students include interest inventories, skills assessments, and personality profiles. Access at https://www.iset-sfax.tn/career-services/assessments.",Career Services,en
How do I create a professional online presence?,"Professional online presence workshops cover LinkedIn optimization, portfolio development, and personal branding. Resources at https://www.iset-sfax.tn/career-services/online-presence.",Career Services,en
What graduate school application support is available?,"Graduate school application support includes personal statement reviews, school selection guidance, and interview preparation. Services detailed at https://www.iset-sfax.tn/career-services/graduate-school.",Career Services,en
How can I find part-time jobs while studying?,"Part-time job listings both on and off campus are updated daily at https://www.iset-sfax.tn/career-services/part-time. Filter by hours, location, and required skills.",Career Services,en
What startup and entrepreneurship resources are available?,"Entrepreneurship resources include business plan development, funding opportunities, and mentorship. Programs and events listed at https://www.iset-sfax.tn/career-services/entrepreneurship.",Career Services,en
How do I register for mock interviews?,Mock interview sessions with industry professionals are scheduled monthly. Registration and preparation materials at https://www.iset-sfax.tn/career-services/mock-interviews.,Career Services,en
What salary negotiation workshops are offered?,Salary negotiation workshops are held each semester before graduation. Topics and registration at https://www.iset-sfax.tn/career-services/salary-negotiation.,Career Services,en
How can I access job market research for my field?,"Job market research by field, including salary ranges and growth projections, is available at https://www.iset-sfax.tn/career-services/market-research.",Career Services,en
What professional certification preparation resources are offered?,"Professional certification preparation includes study groups, practice exams, and industry guidance. Available certifications listed at https://www.iset-sfax.tn/career-services/certifications.",Career Services,en
How do I find internships in government agencies?,Government internship opportunities are compiled at https://www.iset-sfax.tn/career-services/government-internships. Application deadlines and security clearance information included.,Career Services,en
What career events are specifically for international students?,"International student career events address work authorization, cultural differences, and global opportunities. Schedule at https://www.iset-sfax.tn/career-services/international-careers.",Career Services,en
How do I register for the cultural adaptation workshop?,Cultural adaptation workshops are mandatory for new international students. Registration and schedule at https://www.iset-sfax.tn/international/adaptation-workshop.,International Students,en
What services are available for document translation?,Document translation services are provided for official documents. Submission guidelines and processing times at https://www.iset-sfax.tn/international/translation-services.,International Students,en
How can I find a local host family?,The host family program pairs international students with local families for cultural exchange. Application and matching process at https://www.iset-sfax.tn/international/host-families.,International Students,en
What resources help with homesickness and cultural adjustment?,"Cultural adjustment resources include support groups, individual counseling, and peer connections. Services listed at https://www.iset-sfax.tn/international/adjustment-support.",International Students,en
How do I extend my student visa?,Student visa extension applications should begin 60 days before expiration. Process and required documentation at https://www.iset-sfax.tn/international/visa-extension.,International Students,en
What international student excursions are planned this semester?,International student excursions to cultural and historical sites are scheduled monthly. Registration and itineraries at https://www.iset-sfax.tn/international/excursions.,International Students,en
How can I learn about Tunisian customs and etiquette?,"Tunisian culture workshops cover local customs, etiquette, and daily life. Schedule and materials at https://www.iset-sfax.tn/international/tunisian-culture.",International Students,en
What employment regulations apply to international students?,International student employment is limited to 20 hours/week during semesters. Complete regulations and work authorization process at https://www.iset-sfax.tn/international/work-regulations.,International Students,en
How do I find culturally appropriate healthcare providers?,Culturally sensitive healthcare provider directory is available at https://www.iset-sfax.tn/international/healthcare. Includes languages spoken and specialties.,International Students,en
What international student leadership opportunities are available?,International student leadership roles include cultural ambassadors and orientation leaders. Application details at https://www.iset-sfax.tn/international/leadership.,International Students,en
How can I celebrate my cultural holidays on campus?,"Cultural holiday celebration support includes venue reservation, funding assistance, and promotional help. Request form at https://www.iset-sfax.tn/international/holiday-celebrations.",International Students,en
What translation services are available during academic advising?,Translation assistance for academic advising is available by request. Schedule with language preference at https://www.iset-sfax.tn/international/advising-translation.,International Students,en
How do I participate in the language exchange program?,The language exchange program pairs native speakers of different languages. Registration and meeting schedule at https://www.iset-sfax.tn/international/language-exchange.,International Students,en
What support is available for observing religious practices?,"Religious practice accommodations include prayer spaces, dietary options, and holiday observances. Resources listed at https://www.iset-sfax.tn/international/religious-support.",International Students,en
How can I share my culture with the campus community?,"Cultural sharing opportunities include International Festival, cooking demonstrations, and classroom presentations. Sign up at https://www.iset-sfax.tn/international/cultural-sharing.",International Students,en
What tax assistance is available for international students?,International student tax workshops and individual consultation appointments are scheduled January-April. Registration at https://www.iset-sfax.tn/international/tax-assistance.,International Students,en
How do I find information about public transportation in Sfax?,"Sfax public transportation guides, including bus routes, schedules, and fare information, available at https://www.iset-sfax.tn/international/transportation-guide.",International Students,en
What resources help with cross-cultural communication challenges?,"Cross-cultural communication workshops address academic, social, and professional contexts. Schedule and materials at https://www.iset-sfax.tn/international/communication.",International Students,en
How can I arrange airport pickup when I first arrive?,Airport pickup services are available for new international students. Reservation required at least 72 hours in advance at https://www.iset-sfax.tn/international/airport-pickup.,International Students,en
What emergency contact information should international students have?,International student emergency contacts and protocol information available at https://www.iset-sfax.tn/international/emergency-contacts. Save this information in your phone.,International Students,en
How do I contact the Department of Computer Science?,"The Computer Science Department is located in Building B, Floor 3. Contact the department chair at cs-chair@iset-sfax.tn or +216-74-431-445. Office hours and faculty directory at https://www.iset-sfax.tn/contact/computer-science.",Contact & Location,en
Where is the Student Affairs Office located?,"The Student Affairs Office is in Building A, Room 150. Operating hours: Monday-Friday 8:00-16:30. Contact at student-affairs@iset-sfax.tn or +216-74-431-460.",Contact & Location,en
How do I reach the Financial Aid Office?,"The Financial Aid Office is located in Building A, Room 125. Walk-in hours and appointment scheduling available at https://www.iset-sfax.tn/contact/financial-aid or call +216-74-431-455.",Contact & Location,en
What is the emergency protocol on campus?,"Campus emergency procedures are outlined at https://www.iset-sfax.tn/contact/emergency. For immediate assistance, call Campus Security at +216-74-431-499 or use emergency call boxes.",Contact & Location,en
How do I contact my academic advisor?,Academic advisor contact information is listed in your student portal under 'My Advisor.' Department-specific advising office information at https://www.iset-sfax.tn/contact/advisors.,Contact & Location,en
Where is the International Student Office?,"The International Student Office is located in Building A, Room 140. Staff directory and appointment scheduling at https://www.iset-sfax.tn/contact/international-office.",Contact & Location,en
How do I reach the Registrar's Office?,"The Registrar's Office is in Building A, Room 110. Document requests and verification services detailed at https://www.iset-sfax.tn/contact/registrar or call +216-74-431-440.",Contact & Location,en
Where can I find campus maps and building directories?,"Campus maps, building directories, and virtual tours are available at https://www.iset-sfax.tn/contact/maps. Download the ISET mobile app for interactive navigation.",Contact & Location,en
How do I contact Residential Life staff?,"Residential Life staff contact information, including on-call emergency numbers, is posted at https://www.iset-sfax.tn/contact/residential-life and in all residence halls.",Contact & Location,en
What are the service desk hours for technical support?,Technical support service desks are located in Buildings B and D. Hours and online ticket submission at https://www.iset-sfax.tn/contact/tech-support.,Contact & Location,en
How do I reach the Student Health Center?,"The Student Health Center is in Building D, Ground Floor. Appointment scheduling and services at https://www.iset-sfax.tn/contact/health-center or call +216-74-431-470.",Contact & Location,en
Where is the Career Services Office?,"The Career Services Office is located in Building C, Room 220. Appointment types and scheduling at https://www.iset-sfax.tn/contact/career-services or call +216-74-431-465.",Contact & Location,en
How do I contact the Alumni Relations Office?,The Alumni Relations Office can be reached at alumni@iset-sfax.tn or +216-74-431-480. Update your information and access services at https://www.iset-sfax.tn/contact/alumni.,Contact & Location,en
Where is the Finance Office for tuition payments?,"The Finance Office is in Building A, Room 130. Payment methods and processing information at https://www.iset-sfax.tn/contact/finance or call +216-74-431-450.",Contact & Location,en
How do I reach the Disability Services Office?,"The Disability Services Office is located in Building C, Room 105. Accommodation requests and resources at https://www.iset-sfax.tn/contact/disability-services.",Contact & Location,en
What is the mailing address for receiving packages?,Student mailing address format and package pickup information at https://www.iset-sfax.tn/contact/mail. Notify senders to include your student ID on packages.,Contact & Location,en
How do I contact the Library Reference Desk?,"The Library Reference Desk can be reached at library@iset-sfax.tn, +216-74-431-475, or through live chat at https://www.iset-sfax.tn/contact/library.",Contact & Location,en
Where is the Testing Center located?,"The Testing Center is in Building B, Room 150. Exam scheduling and proctor requests at https://www.iset-sfax.tn/contact/testing-center or call +216-74-431-445.",Contact & Location,en
How do I contact campus transportation services?,Campus Transportation Services can be reached at transport@iset-sfax.tn or +216-74-431-490. Shuttle schedules and special transportation requests at https://www.iset-sfax.tn/contact/transportation.,Contact & Location,en
Where can I report a lost ID card?,"Lost ID cards should be reported immediately at https://www.iset-sfax.tn/contact/id-cards or in person at the Security Office in Building A, Room 101.",Contact & Location,en
How do I submit an appeal for a parking citation?,Parking citation appeals must be submitted within 7 days at https://www.iset-sfax.tn/contact/parking-appeals or in person at the Transportation Office in Building E.,Contact & Location,en
What is the mobile app code for portal activation?,"The mobile app activation code is provided during orientation. If you need a new code, generate one at https://www.iset-sfax.tn/student-portal/app-activation or contact helpdesk@iset-sfax.tn.",Student Portal,en
How do I view my academic progress report?,Academic progress reports are available in the 'Academic Records' section of the portal. Interpretation guide and advisor contact options at https://www.iset-sfax.tn/student-portal/progress-reports.,Student Portal,en
What payment methods can I use through the portal?,"Online payments can be made via credit card, debit card, or electronic bank transfer. Security protocols and processing times detailed at https://www.iset-sfax.tn/student-portal/payment-methods.",Student Portal,en
How do I register for text message alerts?,Text message alert registration is managed in the 'Communication Preferences' section. Add your mobile number and select notification types at https://www.iset-sfax.tn/student-portal/alerts.,Student Portal,en
What is the process for reporting technical issues with the portal?,Portal technical issues should be reported to portal-help@iset-sfax.tn or through the help ticket system at https://www.iset-sfax.tn/student-portal/support.,Student Portal,en
How do I access electronic library resources remotely?,Remote library resource access requires portal authentication. Connection instructions and troubleshooting at https://www.iset-sfax.tn/student-portal/library-access.,Student Portal,en
What information can parents access in the portal?,Parent portal access is granted only with student authorization. Permission settings and viewable information at https://www.iset-sfax.tn/student-portal/parent-access.,Student Portal,en
How do I view and accept financial aid awards?,Financial aid awards are reviewed and accepted in the 'Financial Aid' section. Instructions for reviewing terms and conditions at https://www.iset-sfax.tn/student-portal/aid-acceptance.,Student Portal,en
What exam schedules are available in the portal?,Exam schedules are published in the 'Academic Calendar' section. Personalized view shows only exams for enrolled courses. Setup guide at https://www.iset-sfax.tn/student-portal/exam-schedule.,Student Portal,en
How do I view my housing assignment and roommate information?,Housing assignments and roommate contact information are available in the 'Housing' section. Room change requests and preference settings at https://www.iset-sfax.tn/student-portal/housing.,Student Portal,en
What meal plan management options are in the portal?,"Meal plan selection, changes, and balance tracking are managed in the 'Campus Services' section. Instructions at https://www.iset-sfax.tn/student-portal/meal-plans.",Student Portal,en
How do I register my vehicle in the student portal?,Vehicle registration for parking permits is completed in the 'Campus Services' section. Required information and regulations at https://www.iset-sfax.tn/student-portal/vehicle-registration.,Student Portal,en
What health forms must be submitted through the portal?,Required health forms include immunization records and health insurance information. Submission guidelines and deadlines at https://www.iset-sfax.tn/student-portal/health-forms.,Student Portal,en
How do I access course evaluations at the end of the semester?,Course evaluations are available in the 'Academics' section during the last two weeks of each semester. Completion instructions at https://www.iset-sfax.tn/student-portal/evaluations.,Student Portal,en
